Mon Apr 28 16:13:03 UTC 2008
1:	169.229.50.8:5850	planetlab6.Millennium.Berkeley.EDU
2:	128.84.154.71:5850	planetlab2.cs.cornell.edu
3:	152.3.138.1:5850	planetlab1.cs.duke.edu
4:	169.229.50.12:5850	planetlab10.Millennium.Berkeley.EDU
5:	169.229.50.7:5850	planetlab5.Millennium.Berkeley.EDU
6:	129.174.79.248:5850	plgmu2.gmu.edu
7:	134.121.64.4:5850	planetlab1.eecs.wsu.edu
8:	63.64.153.82:5850	planetlab1.nbgisp.com
9:	134.2.172.252:5850	peace.ri.uni-tuebingen.de
10:	204.123.28.55:5850	pli1-pa-4.hpl.hp.com
11:	213.19.160.196:5850	planetlab-3.amst.nodes.planet-lab.org
12:	144.216.2.53:5850	planetlab-2.unk.edu
13:	137.189.98.32:5850	planetlab5.ie.cuhk.edu.hk
14:	143.205.172.11:5850	plab1-itec.uni-klu.ac.at
15:	195.130.121.205:5850	planetlab2.cs.uoi.gr
16:	137.189.97.18:5850	s2-803.ie.cuhk.edu.hk
17:	204.56.0.138:5850	kc-sce-plab2.umkc.edu
18:	192.41.135.218:5850	planetlab1.csg.uzh.ch
19:	193.6.20.5:5850	planet2.colbud.hu
20:	203.178.133.3:5850	203.178.133.3
21:	219.243.200.93:5850	ustc1.6planetlab.edu.cn
22:	140.192.249.204:5850	planetlab2.mnlab.cti.depaul.edu
23:	193.10.64.35:5850	planetlab1.sics.se
24:	193.10.133.128:5850	planetlab-1.it.uu.se
25:	131.246.19.202:5850	planetlab2.informatik.uni-kl.de
26:	195.130.121.204:5850	planetlab1.cs.uoi.gr
27:	139.19.142.5:5850	planetlab05.mpi-sws.mpg.de
28:	211.94.143.61:5850	211.94.143.61
29:	130.161.40.153:5850	planetlab1.ewi.tudelft.nl
30:	131.175.17.9:5850	planetlab1.elet.polimi.it
31:	193.144.21.131:5850	planetlab2.urv.net
32:	141.161.20.33:5850	planetlab2.georgetown.edu
33:	203.30.39.241:5850	planetlab2.singaren.net.sg
34:	193.136.166.56:5850	planetlab-2.tagus.ist.utl.pt
35:	219.243.200.21:5850	hust1.6planetlab.edu.cn
36:	165.91.83.23:5850	planetlab2.tamu.edu
37:	131.215.45.72:5850	planlab2.cs.caltech.edu
38:	128.59.20.227:5850	planetlab2.cs.columbia.edu
39:	134.2.172.253:5850	freedom.ri.uni-tuebingen.de
40:	147.229.10.250:5850	planetlab1.fit.vutbr.cz
41:	193.191.148.228:5850	planck228.test.ibbt.be
42:	128.59.20.228:5850	planetlab3.cs.columbia.edu
43:	193.205.215.75:5850	planetlab2.science.unitn.it
44:	151.100.59.10:5850	planetlab-1.dis.uniroma1.it
45:	140.112.107.82:5850	planetlab2.im.ntu.edu.tw
46:	219.243.200.17:5850	thu1.6planetlab.edu.cn
47:	138.23.204.232:5850	planet-lab2.cs.ucr.edu
